date,year_number,year_name,quarter_number,quarter_name,month_number,month_name,week_number,week_name,week_day_number,week_day_name,business_day
2022-02-18 00:00:00,2022,FY22,1,Q1,2,February,8,W8,6,Friday,t
2022-02-19 00:00:00,2022,FY22,1,Q1,2,February,8,W8,7,Saturday,f
2022-02-20 00:00:00,2022,FY22,1,Q1,2,February,9,W9,1,Sunday,f
2022-02-21 00:00:00,2022,FY22,1,Q1,2,February,9,W9,2,Monday,t
2022-02-22 00:00:00,2022,FY22,1,Q1,2,February,9,W9,3,Tuesday,t
2022-02-23 00:00:00,2022,FY22,1,Q1,2,February,9,W9,4,Wednesday,t
2022-02-24 00:00:00,2022,FY22,1,Q1,2,February,9,W9,5,Thursday,t
2022-02-25 00:00:00,2022,FY22,1,Q1,2,February,9,W9,6,Friday,t
2022-02-26 00:00:00,2022,FY22,1,Q1,2,February,9,W9,7,Saturday,f
2022-02-27 00:00:00,2022,FY22,1,Q1,2,February,10,W10,1,Sunday,f
2022-02-28 00:00:00,2022,FY22,1,Q1,2,February,10,W10,2,Monday,t
2022-03-01 00:00:00,2022,FY22,1,Q1,3,March,10,W10,3,Tuesday,t
2022-03-02 00:00:00,2022,FY22,1,Q1,3,March,10,W10,4,Wednesday,t
2022-03-03 00:00:00,2022,FY22,1,Q1,3,March,10,W10,5,Thursday,t
2022-03-04 00:00:00,2022,FY22,1,Q1,3,March,10,W10,6,Friday,t
2022-03-05 00:00:00,2022,FY22,1,Q1,3,March,10,W10,7,Saturday,f
2022-03-06 00:00:00,2022,FY22,1,Q1,3,March,11,W11,1,Sunday,f
2022-03-07 00:00:00,2022,FY22,1,Q1,3,March,11,W11,2,Monday,t
2022-03-08 00:00:00,2022,FY22,1,Q1,3,March,11,W11,3,Tuesday,t
2022-03-09 00:00:00,2022,FY22,1,Q1,3,March,11,W11,4,Wednesday,t
2022-03-10 00:00:00,2022,FY22,1,Q1,3,March,11,W11,5,Thursday,t
2022-03-11 00:00:00,2022,FY22,1,Q1,3,March,11,W11,6,Friday,t
2022-03-12 00:00:00,2022,FY22,1,Q1,3,March,11,W11,7,Saturday,f
2022-03-13 00:00:00,2022,FY22,1,Q1,3,March,12,W12,1,Sunday,f
2022-03-14 00:00:00,2022,FY22,1,Q1,3,March,12,W12,2,Monday,t
2022-03-15 00:00:00,2022,FY22,1,Q1,3,March,12,W12,3,Tuesday,t
2022-03-16 00:00:00,2022,FY22,1,Q1,3,March,12,W12,4,Wednesday,t
2022-03-17 00:00:00,2022,FY22,1,Q1,3,March,12,W12,5,Thursday,t
2022-03-18 00:00:00,2022,FY22,1,Q1,3,March,12,W12,6,Friday,t
2022-03-19 00:00:00,2022,FY22,1,Q1,3,March,12,W12,7,Saturday,f
2022-03-20 00:00:00,2022,FY22,1,Q1,3,March,13,W13,1,Sunday,f
2022-03-21 00:00:00,2022,FY22,1,Q1,3,March,13,W13,2,Monday,t
2022-03-22 00:00:00,2022,FY22,1,Q1,3,March,13,W13,3,Tuesday,t
2022-03-23 00:00:00,2022,FY22,1,Q1,3,March,13,W13,4,Wednesday,t
2022-03-24 00:00:00,2022,FY22,1,Q1,3,March,13,W13,5,Thursday,t
2022-03-25 00:00:00,2022,FY22,1,Q1,3,March,13,W13,6,Friday,t
2022-03-26 00:00:00,2022,FY22,1,Q1,3,March,13,W13,7,Saturday,f
2022-03-27 00:00:00,2022,FY22,1,Q1,3,March,14,W14,1,Sunday,f
2022-03-28 00:00:00,2022,FY22,1,Q1,3,March,14,W14,2,Monday,t
2022-03-29 00:00:00,2022,FY22,1,Q1,3,March,14,W14,3,Tuesday,t
2022-03-30 00:00:00,2022,FY22,1,Q1,3,March,14,W14,4,Wednesday,t
2022-03-31 00:00:00,2022,FY22,1,Q1,3,March,14,W14,5,Thursday,t
2022-04-01 00:00:00,2022,FY22,2,Q2,4,April,14,W14,6,Friday,t
2022-04-02 00:00:00,2022,FY22,2,Q2,4,April,14,W14,7,Saturday,f
2022-04-03 00:00:00,2022,FY22,2,Q2,4,April,15,W15,1,Sunday,f
2022-04-04 00:00:00,2022,FY22,2,Q2,4,April,15,W15,2,Monday,t
2022-04-05 00:00:00,2022,FY22,2,Q2,4,April,15,W15,3,Tuesday,t
2022-04-06 00:00:00,2022,FY22,2,Q2,4,April,15,W15,4,Wednesday,t
2022-04-07 00:00:00,2022,FY22,2,Q2,4,April,15,W15,5,Thursday,t
2022-04-08 00:00:00,2022,FY22,2,Q2,4,April,15,W15,6,Friday,t
2022-04-09 00:00:00,2022,FY22,2,Q2,4,April,15,W15,7,Saturday,f
2022-04-10 00:00:00,2022,FY22,2,Q2,4,April,16,W16,1,Sunday,f
2022-04-11 00:00:00,2022,FY22,2,Q2,4,April,16,W16,2,Monday,t
2022-04-12 00:00:00,2022,FY22,2,Q2,4,April,16,W16,3,Tuesday,t
2022-04-13 00:00:00,2022,FY22,2,Q2,4,April,16,W16,4,Wednesday,t
2022-04-14 00:00:00,2022,FY22,2,Q2,4,April,16,W16,5,Thursday,t
2022-04-15 00:00:00,2022,FY22,2,Q2,4,April,16,W16,6,Friday,t
2022-04-16 00:00:00,2022,FY22,2,Q2,4,April,16,W16,7,Saturday,f
2022-04-17 00:00:00,2022,FY22,2,Q2,4,April,17,W17,1,Sunday,f
2022-04-18 00:00:00,2022,FY22,2,Q2,4,April,17,W17,2,Monday,f
2022-04-19 00:00:00,2022,FY22,2,Q2,4,April,17,W17,3,Tuesday,t
2022-04-20 00:00:00,2022,FY22,2,Q2,4,April,17,W17,4,Wednesday,t
2022-04-21 00:00:00,2022,FY22,2,Q2,4,April,17,W17,5,Thursday,t
2022-04-22 00:00:00,2022,FY22,2,Q2,4,April,17,W17,6,Friday,t
2022-04-23 00:00:00,2022,FY22,2,Q2,4,April,17,W17,7,Saturday,f
